fecha,Unidad_final,target,NP,anualidad_red,baja_vto,baja_sin_efec,producto,tipo_cliente,baja_excepcional,modalidad,permiso_ECO,LOPD,impago,nivel_inicio,des_nivel_inicio,nivel_final,des_nivel_final,solicitudes,asegurados
30/11/2020,Agentes Red,No,No,1,No,No,Basico,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,9,ECO,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Basico,Individual,Sí,Asistencia,No,Sí,No,9,ECO,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,No,No,1,Contact center,7,Siebel,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,No,No,4,Agentes Red,1,Contact center,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,No,No,4,Agentes Red,8,EGAS,4,6
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,No,No,7,Siebel,12,No procede nivel 1,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,No,No,8,EGAS,21,Baja,3,5
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,No,No,8,EGAS,23,Traspaso,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,No,No,12,No procede nivel 1,23,Traspaso,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,1,Contact center,7,Siebel,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,1,Contact center,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,5,6
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,7,Siebel,13,Cont útil nivel 1,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,23,Traspaso,4,5
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,13,Cont útil nivel 1,21,Baja,1,1
