fecha,Unidad,target,NP,anualidad_red,baja_vto,baja_sin_efec,producto,tipo_cliente,baja_excepcional,modalidad,LOPD,impago,nivel_inicio,des_nivel_inicio,nivel_final,des_nivel_final,solicitudes,asegurados
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,No,No,1,Contact center,4,Siebel,33,66
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,33,66
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,No,No,8,Cont útil nivel 1,14,Retenido,30,63
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,No,No,8,Cont útil nivel 1,15,Retenido arg,3,3
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,No,No,14,Retenido,17,Baja final,1,1
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,No,No,15,Retenido arg,17,Baja final,1,1
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,Sí,No,1,Contact center,4,Siebel,98,128
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,98,128
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,Sí,No,8,Cont útil nivel 1,14,Retenido,79,100
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,Sí,No,8,Cont útil nivel 1,15,Retenido arg,19,28
30/11/2020,Contact center,No,No,1,,No,Mybox,Individual,,Asistencia,Sí,No,14,Retenido,17,Baja final,1,2
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,No,Asistencia,No,No,1,Contact center,4,Siebel,2,3
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,No,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,2,3
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,No,Asistencia,No,No,8,Cont útil nivel 1,16,Baja,2,3
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,No,Asistencia,Sí,No,1,Contact center,4,Siebel,7,13
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,No,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,3,3
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,No,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,4,10
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,No,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,3,3
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,No,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,4,10
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,Sí,Asistencia,No,No,1,Contact center,4,Siebel,1,1
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,Sí,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,Sí,Asistencia,No,No,8,Cont útil nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,Sí,Asistencia,Sí,No,1,Contact center,4,Siebel,2,3
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,Sí,Asistencia,Sí,No,4,Siebel,6,Cont no útil nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,Sí,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,1,2
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,Sí,Asistencia,Sí,No,6,Cont no útil nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,No,Basico,Individual,Sí,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,1,2
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,No,No,1,Contact center,4,Siebel,11,15
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,No,No,4,Siebel,6,Cont no útil nivel 1,1,2
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,No,No,4,Siebel,7,No procede nivel 1,3,4
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,7,9
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,No,No,6,Cont no útil nivel 1,16,Baja,1,2
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,No,No,7,No procede nivel 1,16,Baja,3,4
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,No,No,8,Cont útil nivel 1,16,Baja,7,9
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,Sí,No,1,Contact center,4,Siebel,23,33
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,Sí,No,4,Siebel,6,Cont no útil nivel 1,3,3
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,7,10
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,13,20
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,Sí,No,6,Cont no útil nivel 1,16,Baja,3,3
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,6,9
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,Sí,No,7,No procede nivel 1,18,Traspaso,1,1
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,No,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,13,20
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,Sí,Asistencia,Sí,No,1,Contact center,4,Siebel,8,12
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,Sí,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,6,8
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,Sí,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,2,4
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,Sí,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,6,8
30/11/2020,Contact center,No,No,1,No,No,Mybox,Individual,Sí,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,2,4
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,No,Asistencia,No,No,1,Contact center,4,Siebel,4,4
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,No,Asistencia,No,No,4,Siebel,7,No procede nivel 1,2,2
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,No,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,2,2
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,No,Asistencia,No,No,7,No procede nivel 1,16,Baja,2,2
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,No,Asistencia,No,No,8,Cont útil nivel 1,16,Baja,2,2
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,No,Asistencia,Sí,No,1,Contact center,4,Siebel,1,1
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,No,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,No,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,Sí,Asistencia,Sí,No,1,Contact center,4,Siebel,4,4
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,Sí,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,Sí,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,3,3
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,Sí,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,No,Plena,Individual,Sí,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,3,3
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Asistencia,Sí,No,1,Contact center,4,Siebel,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,No,No,1,Contact center,4,Siebel,10,20
